user_id,movie_id,rating
512,344,2
512,509,2
1,1219,2
1,2338,2
1,2253,2
1,2389,2
1,2617,2
257,1500,2
514,4215,2
514,2792,2
514,1977,2
514,2901,2
514,2301,2
514,3041,2
514,4291,2
514,1644,2
514,1975,2
514,2903,2
514,1327,2
514,2458,2
514,1969,2
514,2289,2
514,1974,2
514,1984,2
514,2011,2
514,3938,2
514,1976,2
514,3704,2
514,3738,2
514,2878,2
514,3688,2
514,1389,2
514,4397,2
514,2786,2
514,4564,2
514,1947,2
514,1330,2
514,1978,2
514,2121,2
514,4893,2
514,3843,2
3,2105,2
259,2,2
4,2770,2
4,4226,2
4,1199,2
4,599,2
4,235,2
4,1860,2
4,450,2
4,3538,2
4,1966,2
4,1279,2
4,190,2
4,2959,2
4,2019,2
4,553,2
4,2712,2
4,32,2
4,4260,2
4,1079,2
4,2973,2
4,3481,2
4,1617,2
4,417,2
4,2336,2
4,47,2
4,1892,2
4,1060,2
260,2702,2
260,1206,2
260,2076,2
260,3362,2
260,2348,2
260,3578,2
260,1639,2
260,101,2
260,3735,2
516,2021,2
5,316,2
5,380,2
5,357,2
517,4886,2
517,355,2
517,1284,2
517,4103,2
517,47,2
517,673,2
517,4677,2
517,3269,2
517,3157,2
517,2142,2
517,158,2
517,1204,2
517,2716,2
517,3704,2
517,1304,2
517,1136,2
517,3039,2
517,2090,2
517,2100,2
517,3948,2
517,4368,2
517,1210,2
517,1234,2
517,1246,2
517,1020,2
517,3105,2
6,296,2
6,218,2
6,21,2
6,546,2
6,19,2
6,234,2
6,191,2
6,999,2
6,88,2
6,466,2
6,180,2
6,719,2
6,288,2
262,539,2
262,538,2
262,587,2
262,593,2
262,457,2
262,339,2
262,265,2
262,125,2
262,440,2
262,10,2
518,1380,2
7,2683,2
7,2324,2
7,4246,2
7,4223,2
7,587,2
263,2710,2
263,2770,2
263,1485,2
263,2840,2
263,809,2
263,2605,2
263,2805,2
8,500,2
8,153,2
8,10,2
264,3623,2
264,3578,2
264,480,2
520,858,2
520,327,2
520,1079,2
9,3173,2
9,2901,2
9,1037,2
9,1987,2
265,3826,2
265,2641,2
265,3156,2
265,2858,2
265,1573,2
265,2364,2
265,2392,2
265,1302,2
265,1488,2
265,2377,2
265,388,2
265,196,2
265,436,2
265,2642,2
265,2455,2
265,79,2
265,3362,2
265,2906,2
265,1214,2
265,2668,2
265,2701,2
265,724,2
266,2097,2
266,2321,2
266,2918,2
266,45,2
266,132,2
266,551,2
266,39,2
266,1,2
266,1097,2
266,2249,2
266,440,2
266,1060,2
266,1597,2
266,377,2
266,1405,2
266,1866,2
266,2490,2
266,1485,2
266,1968,2
11,376,2
11,1882,2
11,44,2
11,2002,2
267,2762,2
267,923,2
267,3999,2
267,2861,2
268,165,2
268,1375,2
268,1958,2
268,802,2
268,2956,2
268,2324,2
268,2490,2
268,423,2
268,2416,2
268,2001,2
268,2841,2
268,2717,2
268,2628,2
268,1911,2
268,1291,2
268,1791,2
268,2182,2
268,2115,2
268,2605,2
268,1892,2
